Name;Vertices;Vehiculos;TMax;Sample Size;Avg Time ms;Max Profit;Min Profit;Avg Profit;Indice de Efectividad;Previous works Max Profit
p5.3.x;66;3;40.00;10;60782;700;635;656;0.42;1555
p5.3.x;66;3;40.00;10;23363;660;620;636;0.41;1555
p5.3.x;66;3;40.00;10;22357;685;615;643;0.41;1555
p5.3.x;66;3;40.00;10;7311;555;475;498;0.32;1555
p5.3.x;66;3;40.00;10;54239;750;630;668;0.43;1555
p7.4.t;102;4;100.00;10;143760;542;472;506;0.47;1077
p7.4.t;102;4;100.00;10;42255;504;471;485;0.45;1077
p7.4.t;102;4;100.00;10;45952;542;463;488;0.45;1077
p7.4.t;102;4;100.00;10;11587;322;268;284;0.26;1077
p7.4.t;102;4;100.00;10;96642;509;478;491;0.46;1077
